EngLit,Ben1,Ben2,Ben3,Ben4,Ben5,Ben6
a,া,অ,আ,ও,,
aa,আ,া,,,,
i,ি,ই,ী,ঈ,,
ii,ী,ঈ,ি,ই,,
u,ু,উ,ূ,ঊ,,
uu,উ,ঊ,ু,ূ,,
oo,ূ,ঊ,ু,উ,ও,
ee,ী,ঈ,ি,ই,,
ri,ৃ,ঋ,রি,,,
e,ে,এ,,,,
oi,ৈ,ঐ,অই,ওই,,
ou,ৌ,ঔ,অউ,ওউ,,
o,অ,ো,ও,,,
ai,াই,আই,,,,
ay,ায়,ায়,য়,্যায়,,
ey,েই,েয়,,,,
oy,য়,অয়,ওই,,,
k,ক,ক্,,,,
kh,খ,খ্,,,,
g,গ,গ্,,,,
gh,ঘ,ঘ্,,,,
anga,ঙ,ঙ্,,,,
c,চ,চ্,ক,ক্,,
ch,ছ,ছ্,চ,চ্,,
chh,ছ,ছ্,,,,
j,জ,জ্,য,য্,,
jh,ঝ,ঝ্,,,,
eyan,ঞ,ঞ্,,,,
t,ত,ত্,ট,ট্,,
th,থ,থ্,ঠ,ঠ্,,
d,দ,দ্,ড,ড্,,
dh,ধ,ধ্,ঢ,ঢ্,,
n,ন,ন্,ণ,ণ্,্ন,
p,প,প্,,,,
ph,ফ,ফ্,,,,
f,ফ,ফ্,,,,
b,ব,ব্,্ব,,,
bh,ভ,ভ্,,,,
v,ভ,ভ্,ব,ব্,,
m,ম,ম্,্ম,,,
r,র,র্,্র,,,
l,ল,ল্,্ল,,,
sh,শ,শ্,ষ,ষ্,স,স্
shh,ষ,ষ্,,,,
s,স,স্,শ,শ্,ষ,ষ্
h,হ,হ্,,,,
rh,ড়,ড়্,ঢ়,ঢ়্,,
dh,ঢ়,ঢ়্,,,,
y,য়,য,্য,,,
w,ও,অ,ওয়,ওয়া,ব,্ব
x,ক্স,ক্ষ,,,,
z,জ,জ্,য,য্,ঝ,ঝ্
q,ক,ক্,কু,,,
ng,ং,ঙ,ঙ্,,,
nng,ঁ,,,,,
hng,ঃ,,,,,
kk,ক্ক,,,,,
gg,গ্গ,,,,,
cc,চ্চ,,,,,
jj,জ্জ,,,,,
tt,ত্ত,ট্ট,,,,
dd,দ্দ,ড্ড,,,,
pp,প্প,,,,,
bb,ব্ব,,,,,
mm,ম্ম,,,,,
nn,ন্ন,ণ্ণ,,,,
ll,ল্ল,,,,,
ss,স্স,,,,,
kr,ক্র,,,,,
kl,ক্ল,,,,,
gr,গ্র,,,,,
gl,গ্ল,,,,,
tr,ত্র,ট্র,,,,
dr,দ্র,ড্র,,,,
pr,প্র,,,,,
br,ব্র,,,,,
bhr,ভ্র,,,,,
mr,ম্র,,,,,
shr,শ্র,,,,,
sr,স্র,,,,,
str,স্ত্র,,,,,
sk,স্ক,,,,,
sm,স্ম,,,,,
sn,স্ন,,,,,
sp,স্প,,,,,
st,স্ত,ষ্ট,,,,
sw,স্ব,,,,,
shw,শ্ব,,,,,
ksh,ক্ষ,,,,,
kkh,ক্খ,,,,,
ngk,ঙ্ক,,,,,
ngkh,ঙ্খ,,,,,
nc,ঞ্চ,,,,,
nch,ঞ্ছ,,,,,
nj,ঞ্জ,,,,,
nd,ন্দ,,,,,
ndh,ন্ধ,,,,,
nt,ন্ত,ন্ট,,,,
nth,ন্থ,,,,,
ndd,ন্দ,,,,,
mp,ম্প,,,,,
mb,ম্ব,,,,,
mbr,ম্ব্র,,,,,
ld,ল্দ,,,,,
lp,ল্প,,,,,
lk,ল্ক,,,,,
kt,ক্ত,,,,,
bd,ব্দ,,,,,
bdh,ব্ধ,,,,,
gn,গ্ন,,,,,
